node_id,latitude,longitude
0,28.614148357076505,77.20893086784942
1,28.614223844269052,77.2147615149282
2,28.61378292331264,77.21888293152153
3,28.614689606407754,77.22438371736457
4,28.613665262807032,77.22927128002179
5,28.613668291153594,77.23376713512323
6,28.614020981135784,77.23804335987768
7,28.613037541083745,77.24371885623538
8,28.613393584439834,77.24915712366631
9,28.61344598796224,77.25329384814934
10,28.61963282438446,77.20888711184976
11,28.618933764102344,77.21328762590689
12,28.618627808637736,77.21905546129486
13,28.618324503211287,77.22418784900918
14,28.61859968065504,77.2288541531251
15,28.618599146693885,77.23492613909227
16,28.618893251387632,77.23847114453552
17,28.619311272456052,77.24338957817501
18,28.619004431797503,77.24802016493807
19,28.61823590697555,77.25409843061794
20,28.62426923329,77.2090856841406
21,28.623842175858808,77.2138494481522
22,28.62316073900482,77.21864007789581
23,28.623669680614523,77.22452856111312
24,28.624071809144787,77.22811847992232
25,28.6240620419847,77.2338074588598
26,28.623561538999848,77.23930583814442
27,28.624415499761252,77.24446564005956
28,28.62348039123839,77.24884539381209
29,28.624065631715705,77.25448777256356
30,28.62866041288108,77.20890717051167
31,28.628346832513,77.21340189668796
32,28.6293062629112,77.2196781200143
33,28.628863994939213,77.22450176644895
34,28.629080818012525,77.2286774401227
35,28.629080697802756,77.23476901828325
36,28.628882086980447,77.23978232182792
37,28.627590127447956,77.24441095125219
38,28.628943523534122,77.24885049632478
39,28.62894588038827,77.2530062155427
40,28.63379016405608,77.20917855628576
41,28.63463894702237,77.21374086489087
42,28.633495753198552,77.21874912147821
43,28.634357701058853,77.22416437555484
44,28.633635119898116,77.22925663371656
45,28.633948538774675,77.23448432249528
46,28.633548973453063,77.23883616892671
47,28.633703945923436,77.24326824252593
48,28.634048060138532,77.2491305276361
49,28.633902556728323,77.25388270643332
50,28.638192314628974,77.20878967733861
51,28.638728642741736,77.21359886136538
52,28.63881935714417,77.21920202542842
53,28.639843092950606,77.22408728890642
54,28.63902877519536,77.22896277704211
55,28.63794061439235,77.23398674306229
56,28.63893011510497,77.24023162105625
57,28.63880381951761,77.24415077367117
58,28.638882644115146,77.2484156609812
59,28.639471411407257,77.25437596651635
60,28.644295515973525,77.20854530627261
61,28.64460139715547,77.21329907446861
62,28.644193428546902,77.22009522781292
63,28.643404731837435,77.22371685113521
64,28.643949825682547,77.22874826217294
65,28.643124668284468,77.23403428148741
66,28.64336884814314,77.23923679621532
67,28.643440287882886,77.2447749672025
68,28.643508373353836,77.2488389692419
69,28.644306758608685,77.25338456784179
70,28.649013729967304,77.20965357137715
71,28.648096258382722,77.21409231692927
72,28.649029941397124,77.2193909114359
73,28.648281524644563,77.22333977169346
74,28.64916097078281,77.22914849233662
75,28.649025246425175,77.23417322410475
76,28.648559987639214,77.23911612684859
77,28.64904653623665,77.24364282429099
78,28.649832887255574,77.24923691646046
79,28.6483043482514,77.25432827680432
80,28.653412659164886,77.20939354230187
81,28.654479297789504,77.21358965884082
82,28.65438168806462,77.21920639046348
83,28.65431103008,77.22494839649133
84,28.653777305942,77.22862313191781
85,28.65345524278519,77.23359209485753
86,28.653861449145293,77.23917057598742
87,28.654038345399666,77.24441359162452
88,28.65390650094594,77.2497267670386
89,28.65376767158338,77.2553600845833
90,28.659212833673884,77.20857142122179
91,28.65836455375097,77.21424123620763
92,28.65878826860734,77.21935700024706
93,28.65913661881229,77.22396358554367
94,28.65847660314097,77.22824257638766
95,28.65867674252397,77.23442819939717
96,28.659007046872066,77.23837713061064
97,28.658986590462927,77.24419265868987
98,28.658458071281903,77.24907686255298
99,28.658929104359224,77.2534285148511
